1 2 0,5 -31
1 -2 0,5 -121
1 -2 0,5 -221
1 1 0,5 -270
1 -1 0,5 -334
2 1 0,5 -275
2 0 0,5 -281
2 2 0,5 -281
2 0 0,5 -304
2 0 0,5 -358
2 0 0,5 -386
2 -2 0,5 -416
2 1 0,5 -433
2 -2 0,5 -433
3 -1 1,5 -64
3 2 1,5 -69
3 0 1,5 -73
3 1 1,5 -79
3 -2 1,5 -115
3 1 1,5 -131
3 1 1,5 -162
3 0 1,5 -201
3 1 1,5 -203
3 2 1,5 -205
3 0 1,5 -209
3 0 1,5 -227
3 1 1,5 -284
3 -2 1,5 -326
3 2 1,5 -326
3 1 1,5 -339
3 0 1,5 -366
3 -1 1,5 -398
3 -2 1,5 -401
4 0 0,26 -25
4 1 0,26 -25
4 2 0,26 -25
4 0 0,26 -31
4 -1 0,26 -31
4 1 0,26 -47
4 -1 0,26 -77
4 0 0,26 -110
4 1 0,26 -111
4 2 0,26 -112
4 1 0,26 -121
4 2 0,26 -126
4 0 0,26 -126
4 0 0,26 -157
4 -1 0,26 -171
4 -2 0,26 -171
4 1 0,26 -175
4 2 0,26 -181
4 1 0,26 -185
4 2 0,26 -189
4 1 0,26 -267
4 0 0,26 -270
4 1 0,26 -274
4 1 0,26 -315
4 0 0,26 -322
4 1 0,26 -322
4 -1 0,26 -322
4 -1 0,26 -329
4 1 0,26 -329
4 -1 0,26 -336
4 -2 0,26 -357
4 -1 0,26 -357
4 1 0,26 -357
4 1 0,26 -394
4 0 0,26 -394
4 0 0,26 -404
